Compound,Cruise,SampID,replicate,Local_Date,Local_Time,Lat,Long,Part.Conc.nM,Diss.Conc.nM,Total_nM,Perc_Diss
Homarine,TN397,S4_1800,B,24/11/2021,17:41:00,19.69,-138.58,0.01149107619007186,0.05393861574345472,0.06542969193352657,0.8243752056521031
Homarine,TN397,S4_1800,C,24/11/2021,17:36:00,19.69,-138.58,0.01099711497855798,0.05286092146652016,0.06385803644507815,0.8277880813323131
Homarine,TN397,S4_1800,C,24/11/2021,17:40:00,19.69,-138.58,0.01099711497855798,0.05286092146652016,0.06385803644507815,0.8277880813323131
Homarine,TN397,S4_1800,C,24/11/2021,17:41:00,19.69,-138.58,0.01099711497855798,0.05286092146652016,0.06385803644507815,0.8277880813323131
Homarine,TN397,S6,A,27/11/2021,06:24:00,13.9487,-140.0016,0.06254482207683208,0.14227874668184334,0.2048235687586754,0.6946405022826118
Homarine,TN397,S6,B,27/11/2021,06:24:00,13.9487,-140.0016,0.0528585694031042,0.10147261663051596,0.15433118603362017,0.6574991046100737
Homarine,TN397,S6,C,27/11/2021,06:24:00,13.9487,-140.0016,0.06479344321476023,0.11596805016872486,0.18076149338348507,0.6415528440158376
Homarine,TN397,S7_600,A,28/11/2021,06:18:00,10.6974,-139.998,0.03970152198237417,0.12890805726332868,0.16860957924570286,0.764535786400843
Homarine,TN397,S7_600,B,28/11/2021,06:18:00,10.6974,-139.998,0.04180047623290057,0.14002955413953155,0.18183003037243212,0.7701123618178856
Homarine,TN397,S7_600,C,28/11/2021,06:18:00,10.6974,-139.998,0.04348664670398462,0.11437992888253425,0.15786657558651887,0.724535440498285
Homarine,TN397,S7_1800,A,28/11/2021,17:52:00,10.6979,-139.9975,0.04664043250052897,0.4335729445509825,0.48021337705151146,0.9028756075332613
Homarine,TN397,S7_1800,B,28/11/2021,17:52:00,10.6979,-139.9975,0.04302523830538952,0.23404731396104772,0.27707255226643723,0.8447149024562499
Homarine,TN397,S7_1800,C,28/11/2021,17:52:00,10.6979,-139.9975,0.03688944932053431,0.975465244541853,1.0123546938623873,0.9635607465010195
Homarine,TN397,S8,A,30/11/2021,06:17:00,8.388,-139.9961,0.06201610379778476,0.10187210014979184,0.16388820394757658,0.6215950733243619
Homarine,TN397,S8,B,30/11/2021,06:17:00,8.388,-139.9961,0.05763806850635791,0.10763664860196508,0.16527471710832298,0.6512590097577887
Homarine,TN397,S8,C,30/11/2021,06:17:00,8.388,-139.9961,0.0650468776641847,0.09710159820870738,0.16214847587289208,0.5988437306362667
Homarine,TN397,S9_600,A,1/12/21,06:15:00,4.7508,-140.0005,0.21975194495065536,0.2600189128035511,0.47977085775420647,0.5419647913186977
Homarine,TN397,S9_600,B,1/12/21,06:15:00,4.7508,-140.0005,0.2191639122927812,0.31330841499791995,0.5324723272907012,0.5884031881845955
Homarine,TN397,S9_600,C,1/12/21,06:15:00,4.7508,-140.0005,0.2205721315482729,0.2655399798623661,0.48611211141063904,0.5462525488036102
Homarine,TN397,S9_1800,A,1/12/21,18:00:00,4.7695,-139.9879,0.39229508218054054,0.7770419750731278,1.1693370572536683,0.6645149661964073
Homarine,TN397,S9_1800,B,1/12/21,18:00:00,4.7695,-139.9879,0.3138475813987278,0.5136181873377824,0.8274657687365102,0.6207123082832128
Homarine,TN397,S9_1800,C,1/12/21,18:00:00,4.7695,-139.9879,0.2810943937164361,0.7150165604379031,0.9961109541543391,0.7178081492386813
Homarine,TN397,S9_BB,A,1/12/21,08:30:00,4.7508,-140.0005,0.22559798784631244,NA,NA,NA
Homarine,TN397,S9_BB,B,1/12/21,08:30:00,4.7508,-140.0005,0.24786191083964573,NA,NA,NA
Homarine,TN397,S10,A,3/12/21,06:00:00,1.1248,-140.0051,0.22683709268613295,0.2628538200687706,0.48969091275490356,0.5367749599232041
Homarine,TN397,S10,B,3/12/21,06:00:00,1.1248,-140.0051,0.2355164547044004,0.3630666974300541,0.5985831521344545,0.6065434620660717
Homarine,TN397,S10,C,3/12/21,06:00:00,1.1248,-140.0051,0.19573260073834056,1.372535830052251,1.5682684307905916,0.8751919015294669
Homarine,TN397,S11_600,A,4/12/21,06:00:00,0.1459,-139.9081,0.20134306517200812,0.3145327921689179,0.515875857340926,0.6097063618952284
Homarine,TN397,S11_600,B,4/12/21,06:00:00,0.1459,-139.9081,0.19605789629268033,0.37938622774433867,0.575444124037019,0.6592929042054696
Homarine,TN397,S11_1800,A,4/12/21,18:05:00,0.299,-139.8577,0.16479306733309845,0.723949050695663,0.8887421180287614,0.8145771827505924
Homarine,TN397,S11_1800,B,4/12/21,18:05:00,0.299,-139.8577,0.18424687298952017,0.9588390477518236,1.1430859207413437,0.8388162520014002
Homarine,TN397,S11_1800,C,4/12/21,18:05:00,0.299,-139.8577,0.18535818055898293,0.7360693517835262,0.9214275323425091,0.7988358562634285
Homarine,TN397,S12_600,A,7/12/21,06:06:00,-2.249,-140.26,0.1843121163596882,0.125615735814359,0.30992785217404717,0.40530637996296176
