mass_feature,replicate_name,adjusted_area,sample_fraction,z,sample_set,treatment,RT,mz,dat_type,MS2,add_annotation,pseudo_ID,adduct_group_ID,nm_theroetical,scaled_area,high_homarine_compound,low_homarine_compound,high_homarine_NH4_compound,low_homarine_NH4_compound,high_both_compound,low_both_compounds,row_id
D-Glucose 6-phosphate,211202_Smp_OBi1_9,13751561.73744479,Particulate,-1,OBi1_set2,Glucose + NH4 + Homarine,13.406842105263156,259.021897,targeted,NA,NA,NA,NA,NA,15775407.95025184,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,21
Dimethylsulfoniopropionate,211202_Smp_OBi1_1,819221,Particulate,1,OBi1_set2,Glucose + NH4,9.780625,135.047977,targeted,NA,NA,NA,NA,NA,819221,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,25
Dimethylsulfoniopropionate,211202_Smp_OBi1_2,NA,Particulate,1,OBi1_set2,Glucose + NH4,9.780625,135.047977,targeted,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,25
Dimethylsulfoniopropionate,211202_Smp_OBi1_3,NA,Particulate,1,OBi1_set2,Glucose + NH4,9.780625,135.047977,targeted,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,25
Dimethylsulfoniopropionate,211202_Smp_OBi1_4,NA,Particulate,1,OBi1_set2,Homarine,9.780625,135.047977,targeted,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,25
Dimethylsulfoniopropionate,211202_Smp_OBi1_5,NA,Particulate,1,OBi1_set2,Homarine,9.780625,135.047977,targeted,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,25
Dimethylsulfoniopropionate,211202_Smp_OBi1_6,NA,Particulate,1,OBi1_set2,Homarine,9.780625,135.047977,targeted,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,25
Dimethylsulfoniopropionate,211202_Smp_OBi1_7,NA,Particulate,1,OBi1_set2,Glucose + NH4 + Homarine,9.780625,135.047977,targeted,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,25
Dimethylsulfoniopropionate,211202_Smp_OBi1_8,NA,Particulate,1,OBi1_set2,Glucose + NH4 + Homarine,9.780625,135.047977,targeted,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,25
Dimethylsulfoniopropionate,211202_Smp_OBi1_9,NA,Particulate,1,OBi1_set2,Glucose + NH4 + Homarine,9.780625,135.047977,targeted,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,25
