mass_feature,core_metab,sample_fraction,enrich_hNH4_fc,enrich_h_fc,ttest_p_h,p_value_mannwhitney_h,ttest_p_hNH4,p_value_mannwhitney_hNH4
Adenosine triphosphate,Deoxyadenosine,Particulate,1.1445954425433404,3.684685576972564,0.3358438171852422,0.4,0.8638207452408789,1
Adenosine triphosphate,Guanosine,Particulate,1.3080875998026267,4.435788248936526,0.3756394146668447,0.4,0.7622596269621014,0.7
Adenosine triphosphate,L-Arginine,Particulate,1.2242435519452088,5.445014876241426,0.3110715683693466,0.4,0.7889822681091488,1
Adenosine triphosphate,L-Glutamic acid,Particulate,0.29081137821081043,1.5269194820152134,0.6431015137530421,1,0.3438092108145558,0.7
Adenosine triphosphate,L-Homoserine,Particulate,0.2853995522658889,0.9934364982258862,0.9939177686489356,1,0.3223400424677135,0.7
Adenosine triphosphate,L-Lysine,Particulate,1.2275691820781658,3.0685234076041783,0.3955757150397107,0.4,0.7935155233055341,1
Adenosine triphosphate,L-Proline,Particulate,1.0010128231385464,5.05347570378446,0.31897088201208895,0.4,0.9989762192107581,1
Adenosine triphosphate,L-Serine,Particulate,1.2561964389601505,3.8780065722584998,0.3286376508258474,0.4,0.7746375692367182,0.7
Adenosine triphosphate,L-Tyrosine,Particulate,0.9838301149593267,1.834999832101745,0.5309575210999968,0.7,0.9823931338610071,1
Citric acid,Adenine,Particulate,1.1818053406057545,3.6228407272537013,0.4161092489279985,0.7,0.6363678878868037,0.7
Citric acid,Adenosine,Particulate,1.1338600010177697,3.2911096679538794,0.06628318076824118,0.1,0.5362658648970657,0.7
Citric acid,Adenosine monophosphate,Particulate,0.6170998241851008,39.57056357813755,0.4276646213344767,1,0.5420494289917378,0.7
Citric acid,Citrulline,Particulate,1.204413470915073,32.02578937143442,0.05081685555063922,0.1,0.152674636160099,0.2
Citric acid,Cytosine,Particulate,0.8793829491780636,2.5302370340772855,0.20704634175719305,0.1,0.5286514538820593,0.4
Citric acid,Deoxyadenosine,Particulate,0.9283032352788172,3.0603412052732173,0.13964842387785253,0.1,0.3531453896724996,0.4
Citric acid,Guanosine,Particulate,1.039120069683285,3.151755965979256,0.08792575750260312,0.1,0.8152801677955734,1
Citric acid,L-Arginine,Particulate,0.9901968358606483,5.025580495802768,0.038087366839644046,0.1,0.9095253912552523,1
Citric acid,L-Glutamic acid,Particulate,0.23142409135257397,1.2951027550821368,0.4725800593778779,1,1.1912082441203134e-4,0.1
